Line (For Cross-Checking),Station (For Cross-Checking),Station Name,GTFS Stop ID,Station Latitude,Station Longitude,Lines,Station Accessible?,ADA Northbound,ADA Southbound,Planned/Funded,Number of Entrances,Entrance Latitude,Entrance Longitude,North South Street,East West Street,Corner,Visited?,Visit Date,Visit Team Member,Notes
Rockaway,Far Rockaway-Mott Av,Far Rockaway-Mott Av,H11,40.603995,-73.755405,A,1,1,1,No,,,,,,,,,,
Rockaway,Beach 25th St,Beach 25 St,H10,40.600066,-73.761353,A,0,0,0,No,3,40.599708,-73.761959,Beach 25th St,Rockaway Frwy,NW,,,,
Rockaway,Beach 25th St,Beach 25 St,H10,40.600066,-73.761353,A,0,0,0,No,3,40.599427,-73.761807,Beach 25th St,Rockaway Frwy,SW,,,,
Rockaway,Beach 25th St,Beach 25 St,H10,40.600066,-73.761353,A,0,0,0,No,3,40.59967,-73.761596,Beach 25th St,Rockaway Frwy,SW,,,,
Rockaway,Beach 36th St,Beach 36 St,H09,40.595398,-73.768175,A,0,0,0,No,4,40.595445,-73.768313,Beach 36th,Edgemere Ave,NE,,,,
Rockaway,Beach 36th St,Beach 36 St,H09,40.595398,-73.768175,A,0,0,0,No,4,40.595297,-73.768206,Beach 36th,Edgemere Ave,SE,,,,
Rockaway,Beach 36th St,Beach 36 St,H09,40.595398,-73.768175,A,0,0,0,No,4,40.595617,-73.768032,Beach 35th,Rockaway Frwy,NW,,,,
Rockaway,Beach 36th St,Beach 36 St,H09,40.595398,-73.768175,A,0,0,0,No,4,40.595469,-73.767919,Beach 35th,Rockaway Frwy,SW,,,,
Rockaway,Beach 44th St,Beach 44 St,H08,40.592943,-73.776013,A,0,0,0,No,4,40.592897,-73.775715,Beach 44th St,Edgemere Ave,SW,,,,
Rockaway,Beach 44th St,Beach 44 St,H08,40.592943,-73.776013,A,0,0,0,No,4,40.59286,-73.776109,Beach 45th St,Edgemere Ave,SW,,,,
Rockaway,Beach 44th St,Beach 44 St,H08,40.592943,-73.776013,A,0,0,0,No,4,40.593106,-73.775743,Beach 44th St,Edgemere Ave,NW,,,,
Rockaway,Beach 44th St,Beach 44 St,H08,40.592943,-73.776013,A,0,0,0,No,4,40.593079,-73.775985,Beach 45th St,Edgemere Ave,NE,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
Queens Blvd,Jamaica-179th St,Jamaica-179 St,F01,40.712646,-73.783817,F,1,1,1,No,,,,,,,,,,
